"","ID","BORO","BLOCK","LOT","TXCL","ZIP","YRB","TOT_UNIT","RES_UNIT","STR_NAME","BLDGCL","HNUM_LO","HNUM_HI","VALUE_10","VALUE_11","VALUE_12","VALUE_13","VALUE_14","VALUE_15","VALUE_16","VALUE_17","VALUE_18","VALUE_19","VALUE_20","VALUE_21","VALUE_22","VALUE_23"
"1","433-47",3,433,"47","1",11215,1901,3,3,"UNION STREET","C0","000000000575","000000000575",1116000,1182000,1035000,1242000,1204000,1204000,1204000,1625000,2194000,3461000,4318000,5431000,5694000,5299000
"2","433-55",3,433,"55","1",11215,1899,2,2,"UNION STREET","B1","000000000563","000000000563",657000,625000,613000,614000,497000,497000,497000,671000,906000,1429000,1067000,1342000,1606000,1901000
"3","440-39",3,440,"39","1",11215,1931,3,2,"3 AVENUE","S2","000000000270","000000000270",437000,450000,450000,448000,453000,544000,653000,784000,941000,1009000,1211000,1393000,1934000,2091000
"4","440-40",3,440,"40","1",11215,1931,3,2,"3 AVENUE","S2","000000000272","000000000272",478000,492000,492000,490000,548000,658000,790000,948000,1138000,1220000,1464000,1684000,2211000,2346000
"5","440-42",3,440,"42","1",11215,1930,3,3,"PRESIDENT STREET","C0","000000000511","000000000511",1087000,1046000,1010000,1212000,1158000,1390000,1593000,2054000,2319000,3414000,2891000,3491000,4177000,4223000
"6","440-46",3,440,"46","1",11215,1920,3,3,"PRESIDENT STREET","C0","000000000501","000000000501",940000,944000,788000,946000,967000,1160000,1392000,1674000,2123000,3349000,2501000,2300000,2752000,3086000
"7","447-3",3,447,"3","1",11215,1910,3,3,"NEVINS STREET","C0","000000000337","000000000337",767000,672000,659000,791000,775000,775000,775000,1046000,1412000,2228000,1682000,2001000,2394000,2406000
"8","447-12",3,447,"12","1",11215,1899,3,3,"PRESIDENT STREET","C0","000000000478","000000000478",913000,866000,849000,1019000,870000,870000,870000,1175000,1586000,2502000,2428000,3046000,3644000,3562000
"9","447-13",3,447,"13","1",11215,1899,2,2,"PRESIDENT STREET","B9","000000000482","000000000482",1114000,1175000,1357000,1628000,1458000,1458000,1458000,1827000,2466000,2928000,2556000,2406000,2879000,3371000
"10","447-15",3,447,"15","1",11215,1899,2,2,"PRESIDENT STREET","B2","000000000484","000000000484",880000,1058000,1038000,1246000,1048000,1048000,1048000,1415000,1910000,2596000,2506000,2302000,2754000,2980000
"11","447-16",3,447,"16","1",11215,1910,3,3,"PRESIDENT STREET","C0","000000000486","000000000486",975000,1005000,986000,1183000,1078000,1078000,1078000,1455000,1964000,2696000,2809000,2976000,3560000,4201000
"12","447-17",3,447,"17","1",11215,1910,3,3,"PRESIDENT STREET","C0","000000000488","000000000488",831000,860000,742000,890000,774000,774000,774000,1045000,1411000,2226000,2257000,2281000,2729000,3143000
"13","447-18",3,447,"18","1",11215,1910,3,3,"PRESIDENT STREET","C0","000000000490","000000000490",816000,801000,786000,943000,819000,819000,819000,1106000,1493000,2355000,2307000,2160000,2584000,2926000
"14","447-21",3,447,"21","1",11215,1931,3,2,"PRESIDENT STREET","S2","000000000496","000000000496",426000,439000,439000,437000,376000,376000,376000,376000,451000,484000,581000,668000,1055000,1232000
"15","447-24",3,447,"24","1",11215,1910,2,2,"PRESIDENT STREET","B9","000000000502","000000000502",940000,870000,853000,1024000,991000,991000,991000,1338000,1806000,2829000,2232000,2790000,2758000,3050000
"16","447-25",3,447,"25","1",11215,1899,3,3,"PRESIDENT STREET","C0","000000000504","000000000504",805000,770000,946000,1135000,1028000,1028000,1028000,1388000,1731000,2594000,2401000,2589000,2700000,3045000
"17","447-26",3,447,"26","1",11215,1899,2,2,"PRESIDENT STREET","B9","000000000506","000000000506",908000,965000,793000,952000,825000,825000,825000,1114000,1504000,2286000,2029000,2097000,2509000,2288000
"18","447-27",3,447,"27","1",11215,1899,3,3,"PRESIDENT STREET","C0","000000000508","000000000508",1107000,1264000,1020000,1224000,1097000,1097000,1097000,1481000,1816000,2865000,2754000,2927000,3502000,3193000
"19","447-28",3,447,"28","1",11215,1899,3,3,"PRESIDENT STREET","C0","000000000510","000000000510",1118000,1224000,1200000,1440000,1216000,1216000,1216000,1642000,2158000,3069000,2608000,2832000,3388000,3089000
"20","447-34",3,447,"34","1",11215,1901,3,2,"3 AVENUE","S2","000000000282","000000000282",373000,384000,384000,382000,386000,463000,556000,667000,8e+05,858000,1030000,1185000,1872000,2058000
"21","447-35",3,447,"35","1",11215,1910,3,2,"3 AVENUE","S2","000000000284","000000000284",426000,439000,439000,437000,442000,530000,636000,763000,916000,982000,1178000,1355000,1937000,2076000
"22","447-36",3,447,"36","1",11215,1901,3,2,"3 AVENUE","S2","000000000286","000000000286",407000,419000,419000,417000,422000,506000,607000,728000,874000,937000,1124000,1293000,1946000,2107000
"23","447-37",3,447,"37","1",11215,1901,3,2,"3 AVENUE","S2","000000000288","000000000288",407000,419000,419000,417000,422000,506000,607000,728000,874000,937000,1124000,1293000,1963000,2125000
"24","447-38",3,447,"38","1",11215,1920,3,3,"3 AVENUE","C0","000000000290","000000000290",1187000,1089000,1011000,1213000,1197000,1436000,1647000,1881000,2079000,2858000,3093000,3584000,4288000,4215000
"25","447-41",3,447,"41","1",11215,1910,1,1,"CARROLL STREET","A5","000000000469","000000000469",644000,564000,705000,751000,804000,941000,1039000,1403000,1668000,1905000,1934000,1749000,2093000,2173000
"26","447-42",3,447,"42","1",11215,1915,1,1,"CARROLL STREET","A5","000000000467","000000000467",654000,575000,719000,752000,804000,941000,1042000,1407000,1713000,1936000,1934000,1749000,2093000,2173000
"27","447-44",3,447,"44","1",11215,1899,3,3,"CARROLL STREET","C0","000000000463","000000000463",975000,1071000,982000,1178000,1097000,1097000,1150000,1553000,2097000,2716000,2318000,2464000,2436000,3155000
"28","447-49",3,447,"49","1",11215,1915,1,1,"CARROLL STREET","A9","000000000453","000000000453",648000,644000,632000,758000,626000,626000,626000,845000,1141000,1800000,1999000,1897000,2242000,2212000
"29","447-50",3,447,"50","1",11215,1931,3,2,"CARROLL STREET","S2","000000000451","000000000451",605000,623000,623000,620000,549000,549000,549000,549000,659000,707000,848000,975000,1541000,1800000
"30","447-54",3,447,"54","1",11215,1899,3,3,"CARROLL STREET","C0","000000000443","000000000443",1012000,1155000,1133000,1360000,1164000,1164000,1164000,1571000,2121000,3068000,2450000,2526000,3022000,3549000
"31","447-55",3,447,"55","1",11215,1920,2,2,"CARROLL STREET","B9","000000000441","000000000441",719000,642000,630000,756000,745000,1065000,1065000,1438000,1941000,2490000,2756000,2809000,3361000,3649000
"32","447-56",3,447,"56","1",11215,1899,3,3,"CARROLL STREET","C0","000000000439","000000000439",970000,985000,966000,1159000,1071000,1071000,1071000,1446000,1952000,2867000,2464000,2671000,3196000,3319000
"33","447-57",3,447,"57","1",11215,1899,2,2,"CARROLL STREET","B9","000000000437","000000000437",911000,815000,889000,1067000,964000,964000,964000,1301000,1756000,2569000,2209000,1997000,2389000,2178000
"34","447-58",3,447,"58","1",11215,1901,1,1,"CARROLL STREET","A9","000000000435","000000000435",546000,533000,523000,524000,455000,455000,455000,614000,829000,1283000,958000,866000,1015000,1315000
"35","447-59",3,447,"59","1",11215,1899,2,2,"CARROLL STREET","B9","000000000433","000000000433",546000,497200,622000,623000,548000,548000,548000,740000,999000,1473000,1589000,1612000,1820000,1983000
"36","447-1001",3,447,"1001","1C",11215,0,1,1,"CARROLL STREET","R6","000000000459","000000000459",503500,503500,494000,592800,478000,478000,478000,645300,871155,940071,982000,1129500,1821000,1821000
"37","447-1002",3,447,"1002","1C",11215,0,1,1,"CARROLL STREET","R6","000000000459","000000000459",503500,503500,494000,592800,478000,478000,478000,645300,871155,940071,982000,1129500,1821000,1821000
"38","448-3",3,448,"3","1",11215,1930,3,2,"3 AVENUE","S2","000000000285","000000000285",320000,330000,330000,329000,486000,583000,7e+05,840000,1008000,1081000,1297000,1492000,1934000,2149000
"39","448-4",3,448,"4","1",11215,1899,3,3,"3 AVENUE","C0","000000000283","000000000283",920000,996000,977000,1144000,1266000,1076000,1291000,1404000,1487000,2346000,2444000,2655000,2481000,3213000
"40","448-5",3,448,"5","1",11215,1931,3,2,"3 AVENUE","S2","000000000281","000000000281",373000,384000,384000,382000,386000,463000,556000,667000,8e+05,858000,1030000,1185000,1872000,2157000
"41","448-6",3,448,"6","1",11215,1931,3,2,"3 AVENUE","S2","000000000279","000000000279",340000,350000,350000,349000,353000,424000,509000,611000,878000,941000,1129000,1298000,1578000,1799000
"42","448-9",3,448,"9","1",11215,1899,3,3,"3 AVENUE","C0","000000000273","000000000273",920000,996000,977000,1153000,1275000,1084000,1301000,1396000,1490000,2351000,2433000,2557000,2316000,3e+06
"43","448-10",3,448,"10","1",11215,1931,2,1,"3 AVENUE","S1","000000000271","000000000271",1060000,1090000,1090000,1086000,1099000,967000,967000,1038000,1246000,1336000,1385000,1593000,2054000,2202000
"44","448-27",3,448,"27","1",11215,1899,3,3,"PRESIDENT STREET","C0","000000000564","000000000564",1027000,988000,969000,1163000,1250000,1234000,1481000,1632000,1423000,2245000,2337000,2484000,2455000,2936000
"45","448-28",3,448,"28","1",11215,1925,3,3,"PRESIDENT STREET","C0","000000000566","000000000566",1043000,1057000,1037000,1244000,1390000,1367000,1640000,2028000,2062000,3121000,2756000,2892000,3364000,3478000
"46","448-31",3,448,"31","1",11215,1920,1,1,"PRESIDENT STREET","A9","000000000572","000000000572",773000,772000,691000,829000,913000,948000,1138000,1489000,2010000,2497000,2208000,2223000,2274000,2654000
"47","448-52",3,448,"52","1",11215,1899,3,3,"CARROLL STREET","C0","000000000519","000000000519",1062000,1081000,1060000,1272000,1433000,1342000,1610000,1984000,1786000,2818000,2290000,2781000,3118000,3371000
"48","448-54",3,448,"54","1",11215,1905,2,2,"CARROLL STREET","B1","000000000515","000000000515",819000,844000,828000,994000,969000,1092000,1310000,1680000,1678000,2547000,2391000,2396000,2577000,3154000
"49","453-30",3,453,"30","1",11215,1899,3,3,"CARROLL STREET","C0","000000000452","000000000452",952000,1158000,1136000,1363000,1261000,1261000,1261000,1702000,2187000,1765000,2556000,2902000,3472000,3166000
"50","453-33",3,453,"33","1",11215,1899,3,3,"CARROLL STREET","C0","000000000458","000000000458",1203000,1076000,1135000,1362000,1183000,1183000,1183000,1597000,2526000,2708000,3250000,3142000,3007000,3310000
"51","453-38",3,453,"38","1",11215,1899,1,1,"CARROLL STREET","A9","000000000470","000000000470",1047000,1277000,1022000,1205000,1275000,1301000,1106000,1493000,2016000,1627000,2356000,2443000,2415000,2791000
"52","453-39",3,453,"39","1",11215,1899,1,1,"CARROLL STREET","A9","000000000472","000000000472",1056000,1274000,1162000,1394000,1307000,1568000,1346000,1817000,2453000,1980000,2867000,3064000,3029000,3802000
"53","453-41",3,453,"41","1",11215,1899,3,3,"CARROLL STREET","C0","000000000474","000000000474",979000,920000,902000,1082000,1084000,1301000,1561000,1874000,1918000,2048000,2134000,2684000,3211000,3461000
"54","453-42",3,453,"42","1",11215,1899,2,2,"CARROLL STREET","B9","000000000476","000000000476",1041000,1209000,967000,1140000,1213000,1456000,1243000,1437000,1940000,1566000,2267000,2210000,2644000,2580000
"55","453-43",3,453,"43","1",11215,1899,2,2,"CARROLL STREET","B9","000000000478","000000000478",937000,1062000,973000,1168000,1282000,1538000,1527000,1647000,2223000,1794000,2598000,2349000,2810000,2837000
"56","453-44",3,453,"44","1",11215,1899,2,2,"CARROLL STREET","B9","000000000480","000000000480",696000,717000,703000,844000,928000,1114000,1337000,1625000,1884000,1520000,2201000,2098000,2414000,2489000
"57","453-45",3,453,"45","1",11215,1899,3,3,"CARROLL STREET","C0","000000000482","000000000482",876000,887000,988000,1186000,1297000,1386000,1568000,1498000,1666000,1421000,2057000,2247000,2688000,2540000
"58","453-49",3,453,"49","1",11215,1899,2,2,"3 AVENUE","B9","000000000304","000000000304",1015000,1033000,907000,1088000,1067000,1280000,1443000,1575000,2126000,1716000,2485000,2462000,2946000,3101000
"59","453-50",3,453,"50","1",11215,1899,3,3,"3 AVENUE","C0","000000000306","000000000306",814000,788000,773000,928000,961000,1153000,1384000,1594000,1772000,1430000,2070000,2400000,2871000,3236000
"60","453-51",3,453,"51","1",11215,1899,1,1,"3 AVENUE","A9","000000000308","000000000308",934000,931000,766000,919000,1095000,1314000,1226000,1655000,2234000,1803000,2611000,2869000,3432000,3129000
"61","454-11",3,454,"11","1",11215,1931,3,2,"3 AVENUE","S2","000000000299","000000000299",478000,492000,492000,490000,496000,595000,714000,857000,1028000,1102000,1322000,1520000,2402000,2806000
"62","454-12",3,454,"12","1",11215,1899,3,3,"3 AVENUE","C0","000000000297","000000000297",1154000,1098000,878000,1054000,1162000,1186000,1423000,1545000,1313000,1850000,2141000,2659000,2810000,2782000
"63","454-16",3,454,"16","1",11215,1920,3,3,"CARROLL STREET","C0","000000000494","000000000494",1020000,985000,922000,1106000,1273000,1394000,1558000,1621000,1378000,1666000,2412000,2857000,2886000,3045000
"64","454-17",3,454,"17","1",11215,1899,3,3,"CARROLL STREET","C0","000000000496","000000000496",883000,835000,819000,983000,1005000,1206000,1447000,1789000,1571000,1875000,2333000,2651000,3172000,3170000
"65","454-18",3,454,"18","1",11215,1899,2,2,"CARROLL STREET","B1","000000000498","000000000498",1190000,1184000,995000,1194000,1356000,1627000,1645000,2022000,1970000,2045000,2961000,3393000,4059000,3904000
"66","454-19",3,454,"19","1",11215,1899,3,3,"CARROLL STREET","C0","000000000500","000000000500",891000,843000,827000,992000,1157000,1388000,1666000,1799000,1719000,1884000,2391000,2594000,3103000,3328000
"67","454-20",3,454,"20","1",11215,1931,3,3,"CARROLL STREET","C0","000000000502","000000000502",918000,997000,978000,1128000,1313000,1490000,1788000,1702000,1447000,1900000,2096000,2216000,2651000,3137000
"68","454-21",3,454,"21","1",11215,1910,3,3,"CARROLL STREET","C0","000000000504","000000000504",819000,801000,694000,833000,930000,1116000,1339000,1643000,1505000,1990000,2210000,2504000,2996000,2803000
"69","454-23",3,454,"23","1",11215,1931,3,2,"WHITWELL PLACE","S2","000000000016","000000000016",402000,414000,414000,412000,417000,5e+05,6e+05,720000,864000,926000,1111000,1278000,2019000,2358000
"70","454-28",3,454,"28","1",11215,1901,3,3,"WHITWELL PLACE","C0","000000000022","000000000022",1037000,1281000,1025000,1230000,1342000,1610000,1382000,1866000,1656000,2134000,2955000,3074000,3678000,3833000
"71","454-31",3,454,"31","1",11215,1910,2,2,"1 STREET","B9","000000000195","000000000195",1042000,910000,813000,976000,953000,1144000,1373000,1804000,2209000,2095000,1916000,1889000,2260000,2851000
"72","456-11",3,456,"11","1",11215,1899,2,2,"DENTON PLACE","B9","000000000013","000000000013",962000,991000,972000,1008000,1032000,1053000,1264000,1450000,1423000,2217000,1958000,1893000,2265000,2132000
"73","456-12",3,456,"12","1",11215,1920,1,1,"DENTON PLACE","A9","000000000011","000000000011",437000,451000,442000,443000,453000,464000,557000,752000,1015000,1142000,853000,771000,846000,1096000
"74","627-48",3,627,"48","1",11215,1905,3,3,"17 STREET","C0","000000000169","000000000169",809000,743000,725000,731000,670000,686000,823000,1033000,1152000,1356000,1516000,1907000,1885000,1719000
"75","627-49",3,627,"49","1",11215,1905,3,3,"17 STREET","C0","000000000167","000000000167",699000,782000,763000,784000,768000,853000,1024000,1149000,1067000,1397000,1388000,1746000,1694000,1545000
"76","627-50",3,627,"50","1",11215,1905,3,3,"17 STREET","C0","000000000165","000000000165",811000,745000,727000,720000,706000,820000,984000,1112000,1020000,1365000,1476000,1856000,1831000,1670000
"77","627-54",3,627,"54","1",11215,1914,2,2,"17 STREET","B2","000000000159","000000000159",787000,713000,809000,947000,888000,909000,928000,1105000,1349000,1588000,1296000,1630000,1886000,1720000
"78","627-56",3,627,"56","1",11215,1899,3,3,"17 STREET","C0","000000000155","000000000155",731000,735000,592000,710000,694000,833000,1e+06,1350000,1229000,1609000,1736000,2183000,2e+06,1902000
"79","627-57",3,627,"57","1",11215,1899,3,3,"17 STREET","C0","000000000153","000000000153",705000,697000,592000,710000,692000,830000,996000,1345000,1229000,1609000,1736000,2183000,2e+06,1902000
"80","627-58",3,627,"58","1",11215,1899,3,3,"17 STREET","C0","000000000151","000000000151",674000,613000,598000,718000,750000,9e+05,1080000,1458000,1358000,1676000,1619000,2036000,2366000,2157000
"81","627-59",3,627,"59","1",11215,1899,3,3,"17 STREET","C0","000000000149","000000000149",712000,677000,556000,667000,697000,836000,1003000,1354000,1353000,1664000,1764000,2219000,2366000,2157000
"82","627-60",3,627,"60","1",11215,1899,3,3,"17 STREET","C0","000000000147","000000000147",756000,746000,785000,942000,929000,1058000,1132000,1526000,1395000,1515000,1930000,2427000,2530000,2433000
"83","627-62",3,627,"62","1",11215,1910,2,2,"17 STREET","B9","000000000143","000000000143",774000,928000,802000,962000,983000,1121000,1226000,1424000,1610000,1490000,1863000,2343000,2563000,2337000
"84","627-64",3,627,"64","1",11215,1910,2,2,"17 STREET","B1","000000000139","000000000139",613000,728000,711000,653000,715000,770000,924000,906000,1148000,1256000,1397000,1520000,1390000,1305000
"85","628-1",3,628,"1","1",11215,1910,3,3,"4 AVENUE","C0","000000000591","000000000591",875000,902000,885000,1062000,1125000,1148000,1351000,1793000,1849000,1492000,1492000,1877000,1879000,1795000
"86","628-37",3,628,"37","1",11215,1930,3,2,"5 AVENUE","S2","000000000606","000000000606",389000,401000,401000,399000,404000,485000,582000,698000,838000,899000,1003000,1153000,1822000,2128000
"87","628-38",3,628,"38","1",11215,1904,3,2,"5 AVENUE","S2","00000000606A","00000000606A",389000,401000,401000,399000,404000,485000,582000,698000,838000,899000,1003000,1153000,1822000,2128000
"88","628-39",3,628,"39","1",11215,1921,3,2,"5 AVENUE","S2","000000000608","000000000608",389000,401000,401000,399000,404000,485000,582000,698000,838000,899000,1004000,1155000,1825000,2132000
"89","628-40",3,628,"40","1",11215,1914,3,2,"5 AVENUE","S2","000000000610","000000000610",415000,427000,427000,425000,430000,516000,619000,743000,892000,956000,1008000,1159000,1831000,2139000
"90","628-41",3,628,"41","1",11215,1914,3,2,"5 AVENUE","S2","000000000612","000000000612",390000,402000,402000,4e+05,405000,486000,583000,7e+05,840000,901000,1007000,1158000,1830000,2137000
"91","628-47",3,628,"47","1",11215,1910,2,2,"17 STREET","B9","000000000235","000000000235",661000,681000,803000,708000,683000,642000,770000,1017000,1361000,1098000,1590000,1845000,1655000,1510000
"92","628-50",3,628,"50","1",11215,1905,3,3,"17 STREET","C0","000000000229","000000000229",774000,759000,744000,893000,921000,943000,1132000,1528000,1805000,1457000,1676000,2108000,2155000,2162000
"93","628-51",3,628,"51","1",11215,1899,3,3,"17 STREET","C0","000000000227","000000000227",1048000,1162000,1132000,1086000,1058000,1080000,1296000,1750000,2025000,1634000,1768000,2224000,2303000,2244000
"94","628-52",3,628,"52","1",11215,1899,2,2,"17 STREET","B9","000000000225","000000000225",1104000,1252000,1192000,1324000,1358000,1506000,1807000,1609000,2113000,1705000,1711000,2152000,1905000,2467000
"95","628-56",3,628,"56","1",11215,1910,2,2,"17 STREET","B1","000000000217","000000000217",1055000,927000,768000,888000,847000,938000,1126000,1360000,1624000,1325000,1904000,2138000,1763000,1860000
"96","628-57",3,628,"57","1",11215,1899,2,2,"17 STREET","B9","000000000215","000000000215",1034000,1070000,1234000,1134000,1071000,1093000,1281000,1482000,1879000,1516000,2195000,2761000,2397000,2611000
"97","628-65",3,628,"65","1",11215,1910,2,2,"17 STREET","B9","000000000201","000000000201",862000,941000,945000,930000,806000,956000,1147000,1146000,1356000,1333000,1578000,1828000,1553000,1416000
"98","628-66",3,628,"66","1",11215,1905,3,3,"17 STREET","C0","000000000199","000000000199",1023000,1027000,1153000,1155000,1161000,1307000,1310000,1769000,1987000,1604000,1933000,2431000,2195000,2412000
"99","628-67",3,628,"67","1",11215,1910,2,2,"17 STREET","B9","000000000197","000000000197",1117000,978000,932000,1007000,1042000,976000,1171000,1210000,1634000,1454000,1536000,1888000,1619000,1560000
"100","628-68",3,628,"68","1",11215,1905,3,3,"17 STREET","C0","000000000195","000000000195",765000,766000,958000,944000,961000,984000,1181000,1594000,1765000,1424000,1889000,2376000,2010000,2156000
"101","628-69",3,628,"69","1",11215,1905,3,3,"17 STREET","C0","000000000193","000000000193",779000,951000,947000,963000,953000,1070000,1284000,1703000,1706000,1377000,1699000,2137000,1845000,1947000
"102","628-70",3,628,"70","1",11215,1905,3,3,"17 STREET","C0","000000000191","000000000191",918000,958000,969000,926000,873000,883000,1060000,1431000,1717000,1386000,1813000,2280000,1885000,1995000
"103","628-71",3,628,"71","1",11215,1905,3,3,"17 STREET","C0","000000000189","000000000189",918000,958000,969000,925000,871000,882000,1058000,1428000,1717000,1386000,1813000,2280000,1885000,1995000
"104","630-13",3,630,"13","1",11215,1910,2,2,"17 STREET","B2","000000000136","000000000136",626000,655000,639000,543000,530000,636000,763000,1030000,1391000,1326000,1561000,1963000,1619000,1840000
"105","630-14",3,630,"14","1",11215,1910,3,3,"17 STREET","C0","000000000138","000000000138",766000,736000,645000,774000,820000,839000,1007000,1348000,1524000,1711000,1763000,2078000,1998000,2376000
"106","630-25",3,630,"25","1",11215,1910,3,3,"17 STREET","C0","000000000162","000000000162",633000,778000,760000,912000,931000,953000,1144000,1471000,1531000,1554000,1573000,1978000,2227000,2040000
"107","630-26",3,630,"26","1",11215,1910,3,3,"17 STREET","C0","000000000164","000000000164",623000,759000,741000,889000,908000,1007000,1208000,1467000,1419000,1513000,1573000,1978000,2227000,2040000
"108","630-27",3,630,"27","1",11215,1925,3,3,"17 STREET","C0","000000000166","000000000166",683000,688000,672000,806000,822000,977000,1172000,1509000,1443000,1568000,1720000,1991000,2227000,2031000
"109","630-28",3,630,"28","1",11215,1899,3,3,"17 STREET","C0","000000000168","000000000168",603000,682000,666000,799000,814000,870000,1044000,1185000,1319000,1488000,1631000,1818000,1658000,1976000
"110","630-29",3,630,"29","1",11215,1910,3,3,"17 STREET","C0","000000000170","000000000170",614000,636000,621000,737000,741000,847000,1016000,1192000,1373000,1494000,1360000,1710000,1737000,1899000
"111","630-30",3,630,"30","1",11215,1899,3,3,"17 STREET","C0","000000000172","000000000172",614000,632000,617000,740000,791000,937000,1124000,1200000,1370000,1176000,1703000,2063000,1701000,2154000
"112","630-31",3,630,"31","1",11215,1910,2,2,"17 STREET","B3","000000000174","000000000174",743000,752000,749000,899000,876000,897000,1075000,1343000,1647000,1594000,1935000,2204000,2489000,2555000
"113","630-33",3,630,"33","1",11215,1926,3,2,"4 AVENUE","S2","000000000614","000000000614",316000,325000,325000,324000,328000,394000,473000,568000,682000,731000,877000,1009000,943000,1092000
"114","630-34",3,630,"34","1",11215,1926,3,2,"4 AVENUE","S2","000000000616","000000000616",316000,325000,325000,324000,328000,394000,473000,568000,682000,731000,877000,1009000,1128000,1247000
"115","630-37",3,630,"37","1",11215,1910,2,2,"4 AVENUE","B3","000000000622","000000000622",526000,461000,450000,540000,591000,675000,682000,761000,854000,914000,1133000,1184000,1075000,1110000
"116","630-38",3,630,"38","1",11215,1920,2,2,"4 AVENUE","B9","000000000624","000000000624",550000,580000,465000,558000,579000,594000,713000,856000,1054000,1166000,1688000,2044000,1686000,1596000
"117","630-43",3,630,"43","1",11215,1910,2,2,"18 STREET","B9","000000000163","000000000163",609000,596000,7e+05,840000,743000,774000,929000,990000,1332000,1384000,1711000,1850000,1526000,1524000
"118","630-46",3,630,"46","1",11215,1910,2,2,"18 STREET","B9","000000000157","000000000157",619000,610000,753000,887000,897000,889000,894000,1015000,1189000,1377000,1475000,1557000,1605000,1668000
"119","630-47",3,630,"47","1",11215,1910,2,2,"18 STREET","B3","000000000155","000000000155",616000,702000,773000,845000,721000,619000,743000,995000,1134000,1321000,1492000,1611000,1717000,1566000
"120","630-48",3,630,"48","1",11215,1910,3,3,"18 STREET","C0","000000000153","000000000153",591000,606000,592000,593000,576000,590000,708000,873000,970000,1175000,1308000,1183000,1070000,1106000
"121","630-55",3,630,"55","1",11215,1910,2,2,"18 STREET","B2","000000000139","000000000139",609000,622000,607000,640000,649000,751000,821000,930000,1087000,1102000,1212000,1524000,1425000,1485000
"122","630-57",3,630,"57","1",11215,1910,2,2,"18 STREET","B2","000000000135","000000000135",613000,633000,618000,637000,718000,785000,818000,948000,1139000,1349000,1736000,1806000,1489000,1358000
"123","631-9",3,631,"9","1",11215,1920,3,2,"4 AVENUE","S2","000000000603","000000000603",339000,349000,349000,348000,80000,953000,1144000,1239000,1367000,1448000,1733000,1728000,1583000,1346000
"124","631-14",3,631,"14","1",11215,1899,2,2,"17 STREET","B3","000000000184","000000000184",693000,727000,9e+05,1036000,1100000,1146000,1157000,1175000,1586000,1280000,1765000,2042000,1684000,2060000
"125","631-15",3,631,"15","1",11215,1899,2,2,"17 STREET","B3","000000000186","000000000186",850000,1042000,1022000,1e+06,1072000,1146000,1311000,1249000,1686000,1361000,1574000,1828000,1575000,2014000
"126","631-16",3,631,"16","1",11215,1899,2,2,"17 STREET","B3","000000000188","000000000188",735000,748000,9e+05,1037000,1106000,1088000,1173000,1170000,1580000,1275000,1770000,1998000,1752000,2242000
"127","631-17",3,631,"17","1",11215,1899,2,2,"17 STREET","B3","000000000190","000000000190",850000,1042000,1022000,1001000,1073000,1146000,1311000,1249000,1686000,1361000,1574000,1828000,1575000,2014000
"128","631-18",3,631,"18","1",11215,1899,2,2,"17 STREET","B3","000000000192","000000000192",850000,1042000,1022000,1001000,1073000,1146000,1311000,1249000,1686000,1361000,1574000,1828000,1575000,2014000
"129","631-19",3,631,"19","1",11215,1901,2,2,"17 STREET","B3","000000000194","000000000194",675000,741000,875000,856000,792000,828000,994000,1137000,1439000,1177000,1598000,1728000,1654000,1805000
"130","631-20",3,631,"20","1",11215,1901,2,2,"17 STREET","B3","000000000196","000000000196",660000,742000,857000,853000,8e+05,729000,875000,1132000,1431000,1165000,1569000,1697000,1701000,1829000
"131","631-21",3,631,"21","1",11215,1901,3,3,"17 STREET","C0","000000000198","000000000198",663000,621000,609000,731000,743000,860000,1032000,1340000,1406000,1165000,1531000,1655000,1658000,1777000
"132","631-22",3,631,"22","1",11215,1901,3,3,"17 STREET","C0","000000000200","000000000200",671000,631000,619000,743000,781000,917000,1100000,1353000,1455000,1174000,1594000,1861000,1728000,1792000
"133","631-23",3,631,"23","1",11215,1920,3,3,"17 STREET","C0","000000000202","000000000202",774000,779000,974000,1145000,1122000,1224000,1469000,1607000,1973000,1592000,1973000,2481000,2165000,2804000
"134","631-24",3,631,"24","1",11215,1899,2,2,"17 STREET","B3","000000000204","000000000204",846000,1038000,897000,1009000,1052000,1148000,1198000,1182000,1596000,1288000,1570000,1846000,1621000,2040000
"135","631-25",3,631,"25","1",11215,1899,2,2,"17 STREET","B3","000000000206","000000000206",846000,1038000,897000,1008000,1049000,1147000,1198000,1182000,1596000,1288000,1570000,1846000,1621000,2040000
"136","631-26",3,631,"26","1",11215,1899,2,2,"17 STREET","B3","000000000208","000000000208",777000,9e+05,1107000,1221000,1264000,1290000,1548000,1681000,2183000,1762000,2047000,2346000,2547000,3009000
"137","631-27",3,631,"27","1",11215,1899,3,3,"17 STREET","C0","000000000210","000000000210",893000,913000,1084000,1048000,992000,1015000,1218000,1644000,1872000,1511000,1593000,2004000,2214000,2477000
"138","631-30",3,631,"30","1",11215,1899,3,3,"17 STREET","C0","000000000216","000000000216",839000,824000,1030000,1111000,1065000,1275000,1530000,1778000,1872000,1511000,1593000,2004000,2214000,2477000
"139","631-34",3,631,"34","1",11215,1899,3,3,"17 STREET","C0","000000000224","000000000224",823000,819000,978000,1174000,1109000,1132000,1358000,1833000,2140000,1727000,2343000,2320000,2275000,2947000
